Year,NAME,GEOID,PercentUnder18,PercentOver65,PercentAsian,PercentBlack,PercentWhite,PercentHispanic,PercentOther,PercentDroveMoreThan20Minutes,PercentHighSchoolDiploma,PercentAdultsWithAtLeastBachelors,PercentPrivateSchool,PercentDroveAlone,PercentVeteran,PercentEmployed,PercentInternetAccess,PercentVacant,PercentOccupied,PercentOwnerOccupied,PercentNoVehicle
2018,"Census Tract 9201, Anson County, North Carolina",37007920100,18.47944707166242,19.679883594034195,0.0,42.16078574026919,56.71153146598763,0.0,1.1276827937431793,51.48514851485149,80.0,7.470449172576831,1.8711018711018712,91.53915391539154,12.003569834895137,93.51927809680065,51.721311475409834,18.285331547220363,81.71466845277963,77.37704918032787,5.737704918032787
2018,"Census Tract 9202, Anson County, North Carolina",37007920200,20.353508302088912,17.996786288162827,5.78468130690948,50.72308516336369,38.45741831815747,3.9635779325120515,1.0712372790573113,64.11238825031928,80.14336917562724,11.039426523297491,0.0,82.88633461047255,8.607935440484196,92.47434435575826,56.52777777777778,17.431192660550458,82.56880733944955,80.13888888888889,5.416666666666667
2018,"Census Tract 9203, Anson County, North Carolina",37007920300,17.740441857388547,14.499272390527848,2.182828416457203,31.04908056621246,59.86241566344754,3.902632623362879,3.00304273051991,71.93116634799235,79.39405000912575,7.318853805438949,9.593023255813954,85.43021032504781,5.53232550659376,91.53713298791018,52.08243881494204,17.52832861189802,82.47167138810198,74.79604980678403,5.79647917561185
2018,"Census Tract 9204, Anson County, North Carolina",37007920400,32.54994124559342,11.486486486486488,0.0,76.67450058754407,23.325499412455933,0.0,0.0,51.205673758865245,82.74987316083207,5.530187721968543,1.0101010101010102,97.09219858156028,3.789198606271777,88.25338253382535,56.92182410423453,14.54418928322895,85.45581071677105,56.35179153094463,15.63517915309446
2018,"Census Tract 9205, Anson County, North Carolina",37007920500,15.393897603861403,20.306843647646957,1.0687812446129978,62.09274263058093,35.045681779003615,0.9308739872435787,0.8619203585588691,50.40965933592065,84.01563937442502,16.05335786568537,0.7339449541284404,92.496765847348,6.866340668296658,85.51321661517336,60.67811536767944,17.657722987672226,82.34227701232777,56.010568031704096,15.367679436371642
2018,"Census Tract 9206, Anson County, North Carolina",37007920600,17.982679572083544,20.402445236882322,0.0,42.48599083036169,42.25674987264391,14.67142129393785,0.5858380030565461,52.960526315789465,76.36494252873564,7.543103448275862,12.116316639741518,81.3048245614035,8.975155279503106,93.07182883341824,36.38443935926773,20.90497737556561,79.09502262443439,65.38901601830663,11.041189931350115
2018,"Census Tract 405, Cabarrus County, North Carolina",37025040500,27.969981238273924,10.303939962476548,0.2026266416510319,20.472795497185743,61.15572232645403,17.335834896810507,0.8330206378986867,65.28035022731099,88.86049483099082,27.366709257753513,4.886630179827991,88.1798282539148,8.262137945405293,94.788711363297,84.83572030328558,3.633042419322103,96.36695758067789,71.37742207245155,2.379949452401011
2018,"Census Tract 406, Cabarrus County, North Carolina",37025040600,22.696438665912947,15.898812888637648,0.0,4.790842283776145,82.97060486150367,9.892594686263426,2.345958168456755,61.773700305810394,88.48396501457727,13.577675968346522,0.0,90.58103975535168,7.0018281535649,94.49901768172889,70.18459069020867,8.213627992633517,91.78637200736648,77.48796147672552,2.929373996789727
2018,"Census Tract 407.01, Cabarrus County, North Carolina",37025040701,22.922983626440267,14.432989690721648,0.0,10.612492419648271,77.01637355973318,11.097634930260764,1.2734990903577925,52.84090909090909,80.03384094754654,12.944162436548224,14.814814814814813,84.0909090909091,7.159716758457907,91.19047619047619,64.13690476190477,14.50381679389313,85.49618320610686,64.73214285714286,3.273809523809524
2018,"Census Tract 407.02, Cabarrus County, North Carolina",37025040702,27.77476989713048,14.388197076340012,1.0557661072008662,36.478072550081215,46.02057390362751,14.185165132647537,2.26042230644288,56.360424028268554,83.40063761955366,15.98299681190223,5.325814536340852,83.65724381625441,9.970014992503748,91.96117471378795,79.12509593246354,2.942271880819367,97.05772811918064,63.545663852647735,7.099002302379125
2018,"Census Tract 407.03, Cabarrus County, North Carolina",37025040703,32.09737827715356,15.243445692883896,0.0,38.91385767790262,35.80524344569289,22.43445692883895,2.846441947565543,40.30769230769231,77.17391304347827,7.669082125603864,0.0,83.8974358974359,6.94980694980695,88.47457627118645,44.65065502183406,18.505338078291814,81.49466192170819,31.33187772925764,4.25764192139738
2018,"Census Tract 408, Cabarrus County, North Carolina",37025040800,24.928664072632944,14.915693904020753,0.0,29.442282749675748,56.134889753566796,12.140077821011673,2.2827496757457846,56.845753899480066,81.82870370370371,15.277777777777779,4.428571428571428,79.78047371461582,7.809260539046303,89.83050847457628,56.81674064679771,17.99271970878835,82.00728029121164,47.74889029803424,11.60431198478123
