"Year","GEOID","PercentUnder18","PercentOver65","PercentAsian","PercentBlack","PercentWhite","PercentHispanic","PercentOther","PercentDroveMoreThan20Minutes","PercentHighSchoolDiploma","PercentAdultsWithAtLeastBachelors","PercentPrivateSchool","PercentDroveAlone","PercentVeteran","PercentEmployed","PercentInternetAccess","PercentVacant","PercentOccupied","PercentOwnerOccupied","PercentNoVehicle","z_PercentUnder18","z_PercentOver65","z_PercentAsian","z_PercentBlack","z_PercentWhite","z_PercentHispanic","z_PercentOther","z_PercentDroveMoreThan20Minutes","z_PercentHighSchoolDiploma","z_PercentAdultsWithAtLeastBachelors","z_PercentPrivateSchool","z_PercentDroveAlone","z_PercentVeteran","z_PercentEmployed","z_PercentInternetAccess","z_PercentVacant","z_PercentOccupied","z_PercentOwnerOccupied","z_PercentNoVehicle"
2018,37071031600,23.59990218,12.22792859,0,22.71949132,70.31058939,5.869405723,1.100513573,48.6437613,81.35206988,6.494492974,5.570652174,91.86256781,6.594110115,90.71125265,49.29775281,6.806282723,93.19371728,55.61797753,6.25,-0.00615499430690941,-0.240372204083364,-0.703107027466911,-0.0605253576080333,0.376926105561016,-0.427523826820768,-0.691396709017932,-0.791688534567558,-0.632700552624392,-1.22161192190611,-0.406303703850974,0.790104556797071,-0.203005849297245,-0.596699819631036,-1.17241674303149,-0.436655459869089,0.436655460405762,-0.428507651553053,0.0752602102406301
2018,37071031800,29.00339401,12.46528849,0,45.04782475,38.25979636,15.76673866,0.925640234,43.98782344,80.6779661,4.939467312,5.445544554,87.13850837,5.128205128,82.91814947,54.86561631,21.92474674,78.07525326,56.16311399,11.95551437,0.997889751082882,-0.195986687613676,-0.703107027466911,0.943211162962395,-0.808684174009502,0.517346207656235,-0.767636559666451,-1.14777978246579,-0.71033318316787,-1.30121756283585,-0.41909224721217,0.228750180489876,-0.80373222729338,-2.50749337839541,-0.819332933352461,2.35705977603104,-2.3570597760928,-0.402894909981549,1.03330259992434
2018,37071032000,22.57597685,8.936324168,0,47.46743849,40.59334298,8.574529667,3.364688857,38.90909091,70.89750398,8.284652151,0,79.03030303,6.962616822,80.97050428,35.28114664,16.17375231,83.82624769,37.81697905,22.71223815,-0.1964147151693,-0.855891347310073,-0.703107027466911,1.0519812457868,-0.722362538911756,-0.169273390011011,0.295719946278665,-1.53620683169386,-1.83669239495935,-1.12996921006297,-0.975737659011656,-0.734738236498875,-0.0519921742456072,-2.98503714983697,-2.06127414861878,1.29434330280984,-1.29434330285484,-1.26487140125157,2.83951965364789
2018,37071032301,21.49491375,14.90490933,2.521008403,10.26094648,83.10482088,1.371074746,2.742149491,56.85234306,86.21134021,26.41752577,6.326034063,86.73740053,7.042253521,94.34850863,69.04205607,15.7480315,84.2519685,76.1682243,3.271028037,-0.397291436951963,0.26021434286204,-0.0652735854455417,-0.620580432397924,0.850205264661711,-0.856966604221696,0.0243103159823988,-0.163887174178898,-0.0730865147980788,-0.201702197104467,-0.329088310881795,0.181087011934333,-0.0193571357062108,0.295120182957609,0.0796602546353612,1.21567507885539,-1.21567507889914,0.537027032644455,-0.424954359937253
2018,37071031001,26.12692764,10.70581257,0.385527877,2.817319098,72.65717675,15.65836299,8.481613286,56.64739884,71.09482364,11.40632158,1.907790143,79.76878613,2.729827379,97.00729927,57.3283859,12.21498371,87.78501629,77.08719852,5.658627087,0.463401861593661,-0.525002866948006,-0.605565673582697,-0.95519746381474,0.463730138563323,0.506999892775126,2.52655488359703,-0.179561533511806,-1.81396823182864,-0.970163168440014,-0.780722703345344,-0.646985166225504,-1.78658499810757,0.947029943635899,-0.663157396865466,0.562809190562268,-0.562809190595724,0.580204201912741,-0.0240402703161712
2018,37071031301,24.04227213,11.67767503,2.219286658,13.79128137,65.28401585,16.64464993,2.060766182,54.17647059,80.21892103,16.77091478,15.68965517,84.41176471,7.652173913,93.82845188,65.77134986,4.284772577,95.71522742,65.22038567,6.749311295,0.0760435613288904,-0.343267800390424,-0.141611379051081,-0.461879557115582,0.190985082059259,0.601157882703723,-0.272753616173398,-0.368540843473966,-0.763198746868041,-0.69553626648645,0.628064215436582,-0.0952655322778907,0.230587622788661,0.167607295582759,-0.12775025551232,-0.902601028442449,0.902601027877743,0.0226527756066484,0.159102148975045
2018,37071031500,22.99940723,20.5690575,1.51155898,30.64611737,54.53467694,13.30764671,0,49.83870968,65.90296496,9.164420485,2.717391304,69.75806452,5.234795997,93.17329332,57.84392599,16.01351351,83.98648649,44.5695897,12.22847949,-0.117735397895788,1.31939132215081,-0.320671623489517,0.295804149752334,-0.20665021820786,0.282583740800906,-1.17118963183842,-0.700297568321249,-2.41188454486043,-1.08493167543625,-0.697964997997556,-1.83654733349715,-0.7600513972057,0.00696875051253356,-0.630464630776738,1.26473304766494,-1.26473304770947,-0.947606121450923,1.07913758322403
2018,37071030700,24.58756345,16.21192893,0,11.07233503,83.56598985,3.458121827,1.903553299,60.95836606,88.62304688,16.84570313,21.875,97.09347997,7.656710139,97.52367079,52.71317829,9.154929577,90.84507042,54.80620155,9.457364341,0.177366354400026,0.504622686402816,-0.703107027466911,-0.584105685074712,0.867264645093863,-0.657722195659107,-0.341294005397298,0.15014598045793,0.204655783118356,-0.691707664373111,1.26033226243807,1.41168764024246,0.232446563606052,1.07363924824225,-0.955828918966976,-0.0026530048319465,0.00265300425304372,-0.466648208854421,0.613825324368622
2018,37071033202,20.40348464,15.91013297,1.650618982,8.390646492,79.59651536,7.290233838,3.071985328,51.87617261,81.81216931,33.2010582,14.36619718,89.39962477,5.439814815,95.25790349,63.63636364,6.192893401,93.8071066,82.79220779,5.735930736,-0.60009430912008,0.448187839770908,-0.285488432660955,-0.704656944792519,0.720427412223156,-0.291881435223818,0.168109451374954,-0.544470162735968,-0.579713564385792,0.145563742007643,0.492779890694122,0.497435958601078,-0.676034893373321,0.518095010920998,-0.263139542295271,-0.550002628766865,0.550002628935749,0.848248882130142,-0.011059815300819
2018,37119002701,14.57437661,24.67755804,1.891659501,3.09544282,92.94926913,2.063628547,0,29.33458294,96.36465324,80.48098434,28.93081761,84.81724461,4.299443601,97.44013212,86.52416357,5.364995602,94.6350044,73.14126394,3.252788104,-1.68322452786808,2.08766733837719,-0.22450343010506,-0.942694831771755,1.21436720695672,-0.790850475968421,-1.17118963183842,-2.26847573080001,1.09621177818922,2.56594104860781,1.98158033233322,-0.0470828370217097,-1.14335786111848,1.05315637398064,1.18828102404149,-0.702988454061929,0.702988454418015,0.394808048708089,-0.428017121305601
2018,37119005404,18.91011724,15.08901433,2.149370386,74.01215805,12.74424663,9.292227529,1.801997395,61.97183099,86.82008368,16.94560669,0,88.8295289,9.156626506,90.55915721,61.2244898,2.741020794,97.25897921,53.06122449,11.75898931,-0.877582966099582,0.29464136911901,-0.159300703834764,2.24525903941173,-1.75254531405883,-0.100756830254099,-0.385569519307599,0.227656892861901,-0.00298105284344479,-0.686593352037754,-0.975737659011656,0.429692143011163,0.847110770656077,-0.633992151113994,-0.416087545401379,-1.18786829314378,1.18786829387709,-0.548634371522724,1.00030306195014
