Year,NAME,GEOID,PercentUnder18,PercentOver65,PercentAsian,PercentBlack,PercentWhite,PercentHispanic,PercentOther,PercentDroveMoreThan20Minutes,PercentHighSchoolDiploma,PercentAdultsWithAtLeastBachelors,PercentPrivateSchool,PercentDroveAlone,PercentVeteran,PercentEmployed,PercentInternetAccess,PercentVacant,PercentOccupied,PercentOwnerOccupied,PercentNoVehicle
2023,Census Tract 9201; Anson County; North Carolina,37007920100,20.199931058255775,17.580144777662877,0.0,52.22337125129266,36.952774905205096,5.377456049638056,5.446397793864185,60.403863037752416,85.7356608478803,10.523690773067331,0.0,88.93766461808605,14.038876889848812,90.79710144927536,75.63694267515923,13.736263736263737,86.26373626373626,66.0828025477707,4.856687898089172
2023,Census Tract 9202; Anson County; North Carolina,37007920200,18.726355611601512,30.327868852459016,0.0,34.9936948297604,61.22320302648171,2.900378310214376,0.8827238335435058,48.13753581661891,79.11338448422848,12.27621483375959,5.729166666666666,83.95415472779369,4.189294026377036,97.23684210526315,72.58805513016846,17.55050505050505,82.44949494949495,80.09188361408881,5.819295558958652
2023,Census Tract 9203.01; Anson County; North Carolina,37007920301,19.602742965240008,21.872783163868526,0.023646252069047056,29.108536296996927,60.676282809174744,6.881059352092693,3.3104752896665883,69.89576946658492,76.97594501718214,9.559512652296158,19.193857965451055,82.40343347639485,6.382352941176471,97.38704409363092,67.15492957746478,12.776412776412776,87.22358722358723,66.87323943661971,3.7183098591549295
2023,Census Tract 9203.02; Anson County; North Carolina,37007920302,8.669656203288492,13.004484304932735,0.0,29.446935724962632,63.07922272047832,2.092675635276532,5.381165919282512,83.09859154929578,98.0392156862745,8.02139037433155,14.705882352941178,100.0,3.5175879396984926,96.62027833001989,87.77292576419214,6.147540983606557,93.85245901639344,72.92576419213974,1.3100436681222707
2023,Census Tract 9204; Anson County; North Carolina,37007920400,21.240942028985508,22.59963768115942,0.0,68.07065217391305,28.306159420289855,1.177536231884058,2.4456521739130435,45.43429844097995,88.9763779527559,11.023622047244094,0.0,59.910913140311806,6.6705002875215635,86.75555555555555,50.40650406504065,26.070623591284747,73.92937640871526,55.99593495934959,14.227642276422763
2023,Census Tract 9205.01; Anson County; North Carolina,37007920501,14.697120158887786,17.775571002979145,0.0,46.67328699106256,51.14200595829196,2.1847070506454815,0.0,67.05882352941175,79.97218358831711,21.140472878998608,0.0,61.47058823529412,5.238649592549476,91.70984455958549,60.981308411214954,5.726872246696035,94.27312775330397,53.73831775700935,7.943925233644859
2023,Census Tract 9205.02; Anson County; North Carolina,37007920502,30.562750176595245,18.059806922533554,5.674593830939487,54.979985872380496,35.41323287026136,0.0,3.9321874264186487,61.31934032983508,84.75269616957976,16.36296020825586,12.332990750256938,80.50974512743629,11.698880976602238,90.98159509202453,71.61629434954008,14.924538848518726,85.07546115148128,61.826544021024965,9.395532194480946
2023,Census Tract 9206; Anson County; North Carolina,37007920600,22.052785923753664,23.607038123167158,2.404692082111437,51.52492668621701,34.28152492668622,5.9824046920821115,5.806451612903226,54.56012913640033,79.74736842105263,9.473684210526317,2.185792349726776,76.19047619047619,7.0729872084273895,93.01694915254237,63.12201772324472,19.8798470780994,80.1201529219006,69.93865030674846,15.678254942058622
2023,Census Tract 9800; Anson County; North Carolina,37007980000,0.0,6.622114216281895,0.9113001215066828,40.036452004860266,54.0097205346294,2.4301336573511545,2.612393681652491,,81.52317880794702,1.5894039735099337,,,4.25273390036452,,,,,,
2023,Census Tract 405.01; Cabarrus County; North Carolina,37025040501,29.94945693085278,8.355737176040435,1.0968921389396709,38.92891708785891,35.5199483815464,15.399505323153026,9.05473706850199,57.497700091996315,93.53883664228492,28.509230233368164,21.497584541062803,76.93192272309108,4.0310077519379846,91.77637855371113,74.81361426256078,7.245941070354781,92.75405892964523,55.07293354943273,6.482982171799027
2023,Census Tract 405.02; Cabarrus County; North Carolina,37025040502,22.446575803466263,13.797745246508498,0.0,10.011778563015312,80.01009591115599,6.865219586067643,3.1129059397610637,62.75051831375259,92.45960502692998,27.57117209540908,9.922178988326849,88.90808569454043,2.9941418962898676,92.91819291819291,82.53738543174144,13.29987452948557,86.70012547051444,74.9155812831645,0.0
