area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,R,All Fixed Wireless,0.839753210,0.795397699,0.795397699,0.511505753,0.000083375,0.000000000
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,All Fixed Wireless,0.888444222,0.854260464,0.852009338,0.484658996,0.000083375,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,R,Licensed Fixed Wireless,0.839753210,0.795397699,0.795397699,0.511505753,0.000083375,0.000000000
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,Licensed Fixed Wireless,0.888444222,0.854260464,0.852009338,0.484658996,0.000083375,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,3743480,Mint Hill,"Mint Hill, NC",11994,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.789115646,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.340136054,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,All Wired,0.843537415,0.836734694,0.789115646,0.789115646,0.789115646,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,All Wired,0.435374150,0.428571429,0.353741497,0.340136054,0.340136054,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Any Terrestrial,0.911564626,0.911564626,0.877551020,0.877551020,0.789115646,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Any Terrestrial,0.591836735,0.591836735,0.530612245,0.503401361,0.340136054,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,All Wired and Licensed Fixed Wireless,0.911564626,0.911564626,0.877551020,0.877551020,0.789115646,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,All Wired and Licensed Fixed Wireless,0.591836735,0.591836735,0.530612245,0.503401361,0.340136054,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Copper,0.224489796,0.197278912,0.013605442,0,0.000000000,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Copper,0.224489796,0.197278912,0.013605442,0,0.000000000,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Cable/Fiber,0.789115646,0.789115646,0.789115646,0.789115646,0.789115646,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Cable/Fiber,0.340136054,0.340136054,0.340136054,0.340136054,0.340136054,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Cable,0.687074830,0.687074830,0.687074830,0.687074830,0.687074830,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Cable,0.108843537,0.108843537,0.108843537,0.108843537,0.108843537,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Fiber,0.231292517,0.231292517,0.231292517,0.231292517,0.231292517,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Fiber,0.258503401,0.258503401,0.258503401,0.258503401,0.258503401,0.231292517
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,All Fixed Wireless,0.517006803,0.517006803,0.517006803,0.510204082,0.000000000,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,All Fixed Wireless,0.442176871,0.442176871,0.428571429,0.306122449,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Licensed Fixed Wireless,0.517006803,0.517006803,0.517006803,0.510204082,0,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Licensed Fixed Wireless,0.442176871,0.442176871,0.428571429,0.306122449,0.000000000,0
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3743580,Misenheimer,"Misenheimer, NC",147,B,Other,0,0,0.000000000,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.996125283,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.959315467,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,All Wired,1.000000000,1.000000000,0.996125283,0.996125283,0.996125283,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,All Wired,1.000000000,1.000000000,0.959315467,0.959315467,0.959315467,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Any Terrestrial,1.000000000,1.000000000,0.996125283,0.996125283,0.996125283,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Any Terrestrial,1.000000000,1.000000000,0.970616726,0.966096222,0.959315467,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.996125283,0.996125283,0.996125283,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.970616726,0.966096222,0.959315467,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Copper,1.000000000,1.000000000,0.000000000,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Copper,1.000000000,1.000000000,0,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Cable/Fiber,0.996125283,0.996125283,0.996125283,0.996125283,0.996125283,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Cable/Fiber,0.959315467,0.959315467,0.959315467,0.959315467,0.959315467,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Cable,0.822408783,0.822408783,0.822408783,0.822408783,0.822408783,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Cable,0.190829835,0.190829835,0.190829835,0.190829835,0.190829835,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Fiber,0.955117856,0.955117856,0.955117856,0.955117856,0.955117856,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Fiber,0.957378108,0.957378108,0.957378108,0.957378108,0.957378108,0.955117856
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,All Fixed Wireless,0.689376816,0.553438812,0.553438812,0.216015499,0,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,All Fixed Wireless,0.870196965,0.757830158,0.742331288,0.286406200,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Licensed Fixed Wireless,0.689376816,0.553438812,0.553438812,0.216015499,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Licensed Fixed Wireless,0.870196965,0.757830158,0.742331288,0.286406200,0,0.000000000
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,3743720,Mocksville,"Mocksville, NC",3097,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,All Wired,0.951456311,0.907766990,0.893203883,0.878640777,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,All Wired,0.917475728,0.796116505,0.684466019,0.121359223,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Any Terrestrial,0.980582524,0.946601942,0.932038835,0.883495146,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Any Terrestrial,0.956310680,0.902912621,0.859223301,0.189320388,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,All Wired and Licensed Fixed Wireless,0.956310680,0.922330097,0.907766990,0.878640777,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,All Wired and Licensed Fixed Wireless,0.932038835,0.830097087,0.718446602,0.121359223,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Copper,0.854368932,0.733009709,0.606796117,0,0.000000000,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Copper,0.854368932,0.733009709,0.606796117,0,0,0.000000000
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Cable/Fiber,0.878640777,0.878640777,0.878640777,0.878640777,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Cable/Fiber,0.121359223,0.121359223,0.121359223,0.121359223,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Cable,0.878640777,0.878640777,0.878640777,0.878640777,0.878640777,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Cable,0.121359223,0.121359223,0.121359223,0.121359223,0.121359223,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,All Fixed Wireless,0.441747573,0.436893204,0.436893204,0.072815534,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,All Fixed Wireless,0.752427184,0.742718447,0.713592233,0.072815534,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Unlicensed Fixed Wireless,0.169902913,0.169902913,0.169902913,0.072815534,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Unlicensed Fixed Wireless,0.169902913,0.169902913,0.169902913,0.072815534,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Licensed Fixed Wireless,0.271844660,0.266990291,0.266990291,0,0,0.000000000
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Licensed Fixed Wireless,0.611650485,0.601941748,0.572815534,0,0.000000000,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,3743860,Momeyer,"Momeyer, NC",206,B,Other,0,0,0.000000000,0,0,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.555555556,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.148989899,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,All Wired,0.861111111,0.752525253,0.613636364,0.555555556,0.555555556,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,All Wired,0.828282828,0.664141414,0.262626263,0.148989899,0.148989899,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Any Terrestrial,0.878787879,0.775252525,0.656565657,0.598484848,0.555555556,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Any Terrestrial,0.891414141,0.750000000,0.414141414,0.154040404,0.148989899,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,All Wired and Licensed Fixed Wireless,0.878787879,0.775252525,0.656565657,0.598484848,0.555555556,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,All Wired and Licensed Fixed Wireless,0.891414141,0.750000000,0.414141414,0.154040404,0.148989899,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Copper,0.762626263,0.588383838,0.143939394,0,0.000000000,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Copper,0.762626263,0.588383838,0.143939394,0,0,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Cable/Fiber,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Cable/Fiber,0.148989899,0.148989899,0.148989899,0.148989899,0.148989899,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Cable,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Cable,0.136363636,0.136363636,0.136363636,0.136363636,0.136363636,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Fiber,0.002525253,0.002525253,0.002525253,0.002525253,0.002525253,0.002525253
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Fiber,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,All Fixed Wireless,0.196969697,0.174242424,0.174242424,0.169191919,0.000000000,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,All Fixed Wireless,0.368686869,0.353535354,0.303030303,0.017676768,0.000000000,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Licensed Fixed Wireless,0.196969697,0.174242424,0.174242424,0.169191919,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Licensed Fixed Wireless,0.368686869,0.353535354,0.303030303,0.017676768,0,0.000000000
Total,Census Place,3743880,Moncure,"Moncure, NC",396,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,3743880,Moncure,"Moncure, NC",396,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.873090207,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.187203653,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,All Wired,0.875607329,0.875607329,0.873265820,0.873148744,0.873090207,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,All Wired,0.193701341,0.193701341,0.190364690,0.190306152,0.187203653,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Any Terrestrial,0.903354212,0.902183457,0.900895627,0.888661242,0.873090207,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Any Terrestrial,0.833928467,0.587718785,0.558684072,0.312240239,0.187203653,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,All Wired and Licensed Fixed Wireless,0.903354212,0.902183457,0.900895627,0.888661242,0.873090207,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,All Wired and Licensed Fixed Wireless,0.833928467,0.587718785,0.558684072,0.312240239,0.187203653,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Copper,0.326113680,0.326113680,0.022888251,0.003161037,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Copper,0.083123573,0.083123573,0.015922262,0.003161037,0.000000000,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Cable/Fiber,0.873090207,0.873090207,0.873090207,0.873090207,0.873090207,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Cable/Fiber,0.187203653,0.187203653,0.187203653,0.187203653,0.187203653,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Cable,0.872036528,0.872036528,0.872036528,0.872036528,0.872036528,0.000000000
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Cable,0.166305684,0.166305684,0.166305684,0.166305684,0.166305684,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Fiber,0.102441023,0.102441023,0.102441023,0.102441023,0.102441023,0.101855646
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Fiber,0.040917872,0.040917872,0.040917872,0.040917872,0.040917872,0.010595329
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,All Fixed Wireless,0.708072353,0.485102148,0.485102148,0.350055611,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,All Fixed Wireless,0.828660071,0.578060060,0.548030205,0.220511620,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Licensed Fixed Wireless,0.708072353,0.485102148,0.485102148,0.350055611,0,0.000000000
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Licensed Fixed Wireless,0.828660071,0.578060060,0.548030205,0.220511620,0.000000000,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,3743920,Monroe,"Monroe, NC",17083,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.955752212,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.346607670,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,All Wired,0.957227139,0.955752212,0.955752212,0.955752212,0.955752212,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,All Wired,0.612094395,0.349557522,0.346607670,0.346607670,0.346607670,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Any Terrestrial,0.982300885,0.980825959,0.980825959,0.958702065,0.955752212,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Any Terrestrial,0.974926254,0.901179941,0.901179941,0.556047198,0.346607670,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,All Wired and Licensed Fixed Wireless,0.967551622,0.966076696,0.966076696,0.958702065,0.955752212,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,All Wired and Licensed Fixed Wireless,0.967551622,0.821533923,0.821533923,0.556047198,0.346607670,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Copper,0.271386431,0.002949853,0,0,0,0.000000000
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Copper,0.271386431,0.002949853,0.000000000,0,0,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Cable/Fiber,0.955752212,0.955752212,0.955752212,0.955752212,0.955752212,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Cable/Fiber,0.346607670,0.346607670,0.346607670,0.346607670,0.346607670,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Cable,0.949852507,0.949852507,0.949852507,0.949852507,0.949852507,0.000000000
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Cable,0.056047198,0.056047198,0.056047198,0.056047198,0.056047198,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Fiber,0.299410029,0.299410029,0.299410029,0.299410029,0.299410029,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Fiber,0.302359882,0.302359882,0.302359882,0.302359882,0.302359882,0.299410029
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,All Fixed Wireless,0.939528024,0.911504425,0.911504425,0.362831858,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,All Fixed Wireless,0.943952802,0.883480826,0.883480826,0.364306785,0,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Unlicensed Fixed Wireless,0.380530973,0.380530973,0.380530973,0,0,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Unlicensed Fixed Wireless,0.380530973,0.380530973,0.380530973,0,0,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Licensed Fixed Wireless,0.887905605,0.783185841,0.783185841,0.362831858,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Licensed Fixed Wireless,0.889380531,0.750737463,0.750737463,0.364306785,0.000000000,0
Total,Census Place,3744100,Montreat,"Montreat, NC",678,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3744100,Montreat,"Montreat, NC",678,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.898203593,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.101796407,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,R,All Wired,0.904191617,0.898203593,0.898203593,0.898203593,0.898203593,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,B,All Wired,0.209580838,0.143712575,0.101796407,0.101796407,0.101796407,0.000000000
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,R,Any Terrestrial,0.958083832,0.946107784,0.946107784,0.904191617,0.898203593,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,B,Any Terrestrial,0.826347305,0.676646707,0.652694611,0.101796407,0.101796407,0
Total,Census Place,3744160,Mooresboro,"Mooresboro, NC",167,R,All Wired and Licensed Fixed Wireless,0.928143713,0.916167665,0.916167665,0.904191617,0.898203593,0
